%------------------------------------------------------------------------------
% 100 top ranked websites returned by Google search "web" (April 18, 2006)
%------------------------------------------------------------------------------
% Data Mining the Web: Uncovering Patterns in Web Content, Structure, and Usage
% Copyright © by Zdravko Markov, Ph.D., and Daniel T. Larose, Ph.D.
%------------------------------------------------------------------------------
% Only websites with text content between 1K and 10K are included.
% The Weka ARFF string format is used. TFIDF or term count representations can 
% be obtained by using the StringToWordVector filter.
% The class is defined as "prof" for websites used by IT professionals,
% and "info" for websites providing information or direct web services.
%------------------------------------------------------------------------------


@relation top-100-websites

@attribute website_title string
@attribute website_content string
@attribute website_class string


@data
"FirstGov_gov The U_S_ Government's Official Web Portal", "firstgov gov government official web portalskip main contentskip government searchskip navskip nav bar right alignedskip organizationskip contact governmentskip nav barskip reference centerskip free subscribe nowskip online servicesskip information topic search government websites advanced search search tips home site index frequent questions help espa ol languages organization agency index federal government state government local government tribal government contact government mail phone person frequently asked questions reference center data statistics forms graphics photos laws regulations libraries free subscribe firstgov mail updates government newsletters podcast rss libraries shop government auctions apply government jobs government benefits file taxes check tax refund status contact elected officials cheapest gas prices renew passport renew driver license replace vital records 100 online services information topic benefits grants loans money funding financial aid consumer guides consumer credit better business recalls fraud debt scams defense international military international affairs trade embassies visas immigration environment energy agriculture farms food production natural resources conservation weather family home community housing human services community development health nutrition medical health care insurance diet fitness public health history arts culture museums libraries genealogy ethnic traditions jobs education employment career workplace labor school students teachers money taxes unclaimed government money credit saving retirement public safety law crime prison law enforcement disasters emergencies reference general government libraries forms laws photos maps research science technology space biology internet security media phone radio patents travel recreation transportation air train international tourism voting elections voter registration contact elected officials news features gardening time earth day april 22 national arboretum facts united states avian bird flu member taxpayer advocacy panel apply april 28 news media past news features audience kids parents seniors military veterans espa ol americans abroad audiences free mail updates important notices privacy contact suggest link link firstgov gov tm government official web portal office citizen services communications general services administration 1800 street nw washington dc 20405 questions federal government check frequently asked questions mail firstgov 800 fed info 800 333 4636",info
"Free Hit Counter - Web Counter", "free hit counter web counter register demo services features help user forum started easy free just simple steps register account create project insert code website analyse stats welcome reliable web tracker fast hit counter insightful web stats works members say free free hit counter web counter just configurable free hit counters known web counters use firstly completely optional display counter track visitors free choose completely invisible ads members freely choose display hit counter level configurability just damn good counter option displayed perfectly configured hit counter add advertising counter website know works looks good prefer control webmaster begin starting count number wish handy transferring web counter service lie popularity website going artifically inflate count try use realistic number visitors won believe choose displaying unique visitors page loads specify precisely background digit color counter blend perfectly website gets better want place counter image website set background digits transparent allowing image website blend nicely counter different digit fonts choose instruct digits long want counter damn proud configurability offer offers free paid course way experience highly configurable counter interface register right free account copyright 1999 2006 statcounter rights reserved privacy policy terms conditions",prof
"Free web counter, hit counter, free counter, web site tracker - CQ Counter", "free web counter hit counter free counter web site tracker cq counter gmt monday 17 april 2006 21 51 home registration settings faq whois popularity chat member area countid password forgot password languages choose language english deutsch espa ol fran ais italiano portoguese note warranty accuracy translation cq counter web pages french german italian spanish portugal languages tell friend support recommending site friends web counter service place small image web site ll register information using visitors visited site click demo report cq counter statistics reports enable identify areas web site improvement directly impact performance site increase competitive advantage free web counter like know sites search engines send site visitors pages reloaded hits sites hour day week month year operating system web browsers visitors use ip address web page visitors come cq counter help answers important questions cq counter install server access real time reports internet browser easy read statistics charts display ads website free hit counter simple powerful easy install cq counter basic edition plus basic edition plus offers feature free cq counter plus password protected statistics reports banner ads reports 49 95 year home registration settings faq tell friend contact terms privacy chat copyright 2000 2004 cybernet quest rights reserved",prof
"GOP_com  Republican National Committee  Home", "gop com republican national committee home tuesday april 18 2006 13 tax day democrats way 13 iraq facts news week april 10 2006 13 democrat ethics breakdown news week april 10 2006 13 politics progress lynn swann life seizing opportunities athletic business philanthropic endeavors lynn swann running governor pennsylvania track information lynn swann campaign governor visit swannforgovernor com sammon featured edition bookcast talk latest book strategery gop com rnc podcasting device near click hear exciting new audio rnc bringing conservative authors leaders republican party new faces new voices building stronger diverse republican party learn president bush republicans helping community select team involved select team african americans catholic entrepreneurs faith values hispanic seniors women youth america candidates state parties grassroots activists hard work growing party look things doing politics local involved community state party select state alabama alaska american samoa arizona arkansas california colorado connecticut delaware district columbia florida georgia guam hawaii idaho illinois indiana iowa kansas kentucky louisiana maine maryland massachusetts michigan minnesota mississippi missouri montana nebraska nevada new hampshire new jersey new mexico new york north carolina north dakota northern mariana isl ohio oklahoma oregon pennsylvania puerto rico rhode island south carolina south dakota tennessee texas utah vermont virgin islands virginia washington west virginia wisconsin wyoming republican national committee 310 street se washington dc 20003 202 863 8500 202 863 8820 info gop com privacy policy site map paid republican national committee authorized candidate candidate committee www gop com 2006 republican national committee morning president mrs bush attend white house easter egg roll afternoon president bush participate roundtable discussion taxes economy new ad accuses dems playing politics immigration posted 13 2006 10 58 37 pelosi getting flogged left wing blogs posted 12 2006 10 35 blog set personal web site gop com share message photos set goals build team create site today",info
"HealthWeb", "healthweb search site advanced search aids hiv allied health alternative medicine anatomy anesthesiology biochemistry bioethics cardiology cell biology chiropractic consumer health dentistry dermatology developmental disabilities diabetes emergency medicine critical care endocrinology evidence based health care family practice primary care gastroenterology genetics geriatrics gerontology health administration health informatics hematology immunology laboratory medicine pathology men health microbiology infectious diseases minority health molecular biology mortuary science neuroanatomy neurology nuclear medicine nursing nutrition obstetrics gynecology occupational therapy oncology ophthalmology optometry orthopedics osteopathic medicine otolaryngology palliative hospice care pediatrics pharmacy pharmacology physical medicine rehabilitation physiology preventive medicine psychiatry psychology public health pulmonary medicine radiology reference resources rheumatology rural health speech language pathology audiology sports medicine substance abuse surgery telemedicine toxicology transplantation urban health urology veterinary medicine women health disclaimer healthweb designed educational purposes engaged rendering medical advice professional medical services medical decisions consultation qualified health care provider greater midwest region national network libraries medicine participating healthweb institutions liable complications injuries medical accidents arising connection use reliance information web copyright 1995 2005",info
"HP United States - Welcome to Hewlett-Packard", "hp united states welcome hewlett packard computers laptops digital cameras printers enterprise solutions 18 april 2006 select united states english africa englishafrica frenchargentina spanishaustralia englishaustria germanbelarus russianbelgium dutchbelgium frenchbolivia spanishbrazil portuguesebulgaria bulgarian canada englishcanada frenchcaribbean englishcentral america spanishchile spanishchina simplified chinesecolombia spanishcroatia croatiancyprus greekczech republic czechdenmark danish ecuador spanishestonia estonianfinland finnishfrance frenchgermany germangreece greekhong kong englishhong kong traditional chinesehungary hungarian india englishindonesia englishireland englishisrael hebrewitaly italianjapan japanesekazakhstan russiankorea koreanlatvia latvianlithuania lithuanianluxembourg french malaysia englishmexico spanishmiddle east englishnetherlands dutchnew zealand englishnorway norwegianparaguay spanishperu spanishphilippines englishpoland polishportugal portuguesepuerto rico spanish romania romanianrussia russianserbia montenegro serbiansingapore englishslovak republic slovakslovenia sloveniansouth africa englishspain spanishsweden swedishswitzerland frenchswitzerland german taiwan traditional chinesethailand englishturkey turkishukraine russianunited kingdom englishunited states englishuruguay spanishvenezuela spanishvietnam englishall countries regions business segments home home office small medium business large enterprise business government health education partners developersproducts services desktops workstations notebooks tablet pcs handhelds calculators monitors projectors entertainment printing multifunction fax copiers scanners digital photography video collaboration software products supplies accessories servers storage networking management software business services solutions online shopping support troubleshooting software driver downloads contact hp pc security search company information company information jobs hp newsroom offers rebates register product subscribe education training product recyclingprivacy statementusing site means accept termsreplacement programs recalls 2006 hewlett packard development company",prof
"HTML Help by The Web Design Group", "html help web design group making web accessible web design group founded promote creation non browser specific non resolution specific creative informative sites accessible users worldwide end wdg offers material wide range html related topics hope site reference able create web sites used person internet regardless browser platform settings search htmlhelp com web authoring reference includes html reference html wilbur reference cascading style sheets guide offline versions available html reference japanese css guide japanese css guide chinese css guide spanish tools online tools including html validator csscheck cascading style sheets lint cg eye cgi test kit link valet link checker widgets authoring tools accessibility add ons ie4 win95 nt4 new site valet deluxe website monitoring service incorporating online tools faq archives features web authoring frequently asked questions cgi programming faq design elements features style guide standards html authoring introduction frames guide accessibility discussion document types wdg dtd image tips guide legal issues handy list rgb color codes feature article currently featuring john improving search engine rankings html help bbs question discuss novices experts alike encouraged participate html help bbs links helpful web authoring links including links faqs tutorials validators quick look site index page advertising information advertising section comments suggestions contact liam htmlhelp com advertising quality web hosting fasthosts superb home business deals website hosting imhosted com 12gb space 250gb transfer free domain website builder 95 mo business web hosting bluefish web hosting services 95 month website hosting websitesource com host sites unlimited sub domains free domain registration cheap web hosting lypha com 20gb space 250gb transfer 95 mo php mysql cgi premium website templates unlimited downloads 1000 professional templates print designs starting 49 99 boxedart copyright 1996 2006 rights reserved",prof
"IBM United States", "ibm united states united states change terms use home products services solutions support downloads account personalized settings learn business consulting demand business solutions industry medium business offerings services software systems servers storage hardware financing pc products lenovo shop special offers services software servers storage workstations printers upgrades accessories parts ibm certified used equipment support downloads drivers troubleshooting product publications training open service request warranties maintenance manage account shopping cart orders delivery invoices payments contracts inventory resources industries aerospace defense automotive banking chemicals petroleum consumer products education electronics energy utilities financial markets healthcare life sciences insurance media entertainment retail telecommunications travel transportation wholesale distribution small business medium business large enterprise government developers ibm business partners accessibility ibm news newsletters rss feeds press room investor relations jobs ibm ibm research ibm lenovo ibm privacy contact",prof
"ICQ_com - community, people search and messaging service!", "icq com community people search messaging service website people websitepeople web sitepeople homehomedownloaddownloadpeople searchpeople searchgroupsgroupschatchatforumsforumsgamesgamesgreetingsgreetingsicq labsicq labshelphelpicq products shakira colombian pop star shakira music shakira shakira posters discuss shakiraicq games play variety games friend start play zuma games multiplayer pool luxorthe new icq chat meet new people world chat icq style ways meet new people icq people search friend finder1 3experience new icq chatdownload latest version icqfrienddate genderfemalemaleboth ageall18 2223 2930 3940 4950 5960 frienddate femalemale looking forfemalemaleboth ageall18 2223 2930 3940 4950 5960 icq icq2go icq toolbar icq pro 2003b icq wireless icq mac products greetings like greetings games poker superstars games chat rooms eastern europe music lifestyles chat rooms forums news media music hobbies forums entertainment romance age age age users user feedback comments advertise contact icq icq story icq awards site map ranking security privacy center review icq updated end user license agreement copyright 1998 2006 icq rights reserved",info
"Infobel World - Telephone Directories", "infobel world telephone directories contact home page country belgium france luxembourg spain italy denmark netherlands uk usa canada teldir com english language english fran ais espa ol italiano nederlands deutsch ad globe7 free free chat free watch tv free travel medical insurance visitors travelers medical insurance stuff rafters uncommon gifts jewelry antiques kitchen collectibles lots search people address phone reverse license plate criminal records cheap international calls 473 free minutes extra fees taxes globe7 free download free phone free video calling free radio freelive tv world select country afghanistan albania algeria andorra angola anguilla antigua barbuda argentina armenia aruba australia austria azerbaijan bahamas bahrain bangladesh barbados belarus belgium belize benin bermuda bolivia bosnia herzegovina botswana brazil brunei bulgaria burkina faso burundi cambodia cameroon canada cape verde cayman island central africa chad chile china christmas island cocos keeling isalands colombia comoros congo dem rep congo brazzaville cook islands costa rica croatia cuba cyprus czech republic denmark djibouti dominica dominican repubic ecuador egypt el salvador equatorial guinea eritrea estonia ethiopia faeroe islands falkland islands fiji finland france french guiana french polynesia gabon gambia georgia germany ghana gibraltar greece grenada guadeloupe guam guatemala guinea guinea bissau guyana haiti honduras hong kong hungary iceland india indonesia iran iraq ireland isle man israel italy ivory coast jamaica japan jordan kazakhstan kenya korea kuwait latvia lebanon lesotho liberia libya liechtenstein lithuania luxembourg macau macedonia madagascar malawi malaysia maldives islands mali malta martinique mauritania mauritius mayotte mexico micronesia moldova monaco montserrat morocco mozambique myanmar namibia nepal netherlands netherlands antilles new caledonia new zealand nicaragua niger nigeria norfolk island northern marianas norway oman pakistan palau palestinian authority panama papua new guinea paraguay peru philippines pitcairn islands poland portugal puerto rico qatar reunion romania russia rwanda samoa america samoa western san marino saudi arabia senegal serbia montenegro seychelles sierra leone singapore slovak republic slovenia south africa spain sri lanka st barthlehemy st croix st eustatius st helena st kitts nevis st lucia st pierre miquelon st vincent grenadines sudan suriname swaziland sweden switzerland syria taiwan tanzania thailand togo tonga trinidad tobago tunisia turkey turkmenistan turks caicos islands tuvalu uganda ukraine united arab emirates united kingdom united states uruguay uzbekistan vanatu venezuela vietnam virgin islands brit virgin islands yemen zambia zimbabwe international dialing codes information services 216 countries north america caribbean united states canada mexico jamaica south central america argentina brazil colombia africa south africa ivory coast senegal europe united kingdom france germany netherlands asia middle east india china israel australia pacific australia new zealand indonesia teldir wd 212 224 141 40 swp 1995 2005 kapitol rights reserved kapitol 506 chauss saint job 1180 brussels belgium vat be0453 604 761 tel 32 379 29 40 fax 32 379 29 88 mail info infobel com",info
"Intel", "intel skip content united states worldwide intel press room contact search processors chipsets motherboards desktop laptop server workstation embedded flash memory networking communications softwaresilicon computing communications systems standards exploratory researchwireless hardware design networking communications software network business solution providers solution servicespersonal computing education small business business enterprise networking communications hardware design software network reseller centerdownload center product support support services contact support search support products technology support resource centers helping answers questions right technology needs personal computing small business business enterprise education reseller center hardware design software network networking communications server virtualization hardware assisted virtualization enabled intel xeon processor learn intel healthcare intel connecting people information new model care learn site map rss feeds jobs intel investor relations legal information privacy policy 2006 intel corporation",prof
"Internal Revenue Service", "internal revenue service gte endif gte endif contact irs irs site map espa ol help advanced search search tips requested forms publications form 4868 form 1040ez form 1040 form form 1040a forms publications online tools eitc assistant apply refund quick easy secure online options fast free electronic payment options online tools check free file seventy percent nation taxpayers eligible free tax preparation software free electronic filing eligible tax deadline nears minute tips help final hours file extension 1040 central make stop starting 2005 tax return changes tips tools help hurricane victims new tax relief provisions apply individuals businesses affected hurricane season information careers contracting opportunities frequently asked questions newsroom tax stats taxpayer advocate need select learn use siteget copy returnstart businesscall contact irsget taxpayer id numberfind forms publicationsset payment planchange address accessibility firstgov gov freedom information act important links irs privacy policy treasury treasury inspector general tax administration",info
"Internet Archive", "internet archive web moving images texts audio software education patron info ia forums faqs contributions jobs donate search media types wayback machine moving images prelinger archives open source movies feature films computer chronicles net caf democracy cinemocracy election 2004 independent news youth media siggraph open mind shaping san francisco brick films game videos film chest vintage cartoons mosaic middle east news av geeks sabucat movie trailers world war media burn universal newsreels bbs documentary video collection german cinema globians film festival deep dish tv beat ucsf tobacco control archives coffee house tv fadiman social documentaries texts canadian libraries million book project open source books project gutenberg children library arpanet dance manuals audio live music archive netlabels open source audio presidential recordings democracy conference proceedings minds archive childhood matters gendertalk 78 rpms tse chen ling buddhist lectures berkeley groks science radio rustbelt radio librivox naropa software tucows software library clasp forums faqs anonymous user login join announcements help collect sf earthquake sites bookmark explorer dead update web55 billion pages advanced search welcome archive internet archive building digital library internet sites cultural artifacts digital form like paper library provide free access researchers historians scholars general public moving images 33 222 movies browse keyword upload movie live music archive 34 18 concerts browse band upload concert audio 79 492 recordings browse keyword upload recording texts 27 564 texts browse keyword upload text just police brutality nwo 22 minutes ago just blues traveler live hours ago just crap past 13 minutes ago just occasional addresses 15 minutes ago curator choice border crossing al azzariyah hard words scene friend suggested quote fadi curator choice live kuumbwa jazz center 2003 21 solar calm storm daily wheatgrass shots burning new pathway curator choice kondencuotas pienas synaesthetic layers pcr017 kondencuotas pienas time super records solid techno music time curator choice reminiscences scottish life character anecdotes stories scottish culture recent reviews untitled average rating csi ottawa average rating recent reviews grateful dead 1984 20 average rating ween 2006 average rating recent reviews pafufta trees godlike substances average rating alexis machine average rating recent reviews elissa guest book average rating tu dien anh viet bang hinh danh cho tre em average rating recent posts write post going forum subjectposterforumrepliesviewsdate zerinnerung mix 36 energetic minimal techno mixed karpezerinnerung denetlabels0315 minutes ago attn brad leblanchomesliceetree01238 minutes ago import problembrad leblancetree042 hours ago cheese 2000 fall tourbrad leblancetree082 hours ago help dead aka jones gangjhender501etree0172 hours ago help dead aka jones gangbonketree1333 hours ago help dead aka jones gangdeadbrecketree1353 hours ago antibalas afrobeat orchestra kb etree0164 hours ago antibalas afrobeat orchestradiana hamiltonetree1114 hours ago antibalas afrobeat orchestra kb etree1264 hours ago institutional support alexa internet hp computer kahle austin foundation prelinger archives national science foundation library congress lizardtech sloan foundation hewlett foundation individual contributors skin classic columns custom terms use 10 mar 2001",info
"ISI - Thomson Scientific", "isi thomson scientificthomson com advanced search en jp cn kr listing products category solutions industry technical support training online training support training materials recorded training text links isi master journal list industry product news expert essays pharma meeting previews knowledgelink newsletter isi web knowledge library center innovation insights newsletter biology browser highlycited researchers cites scenes sci bytes new science watch newsletter thomson scientific known thomson isi established leader providing access high value essential information researchers scholars worldwide 45 years goal increase impact research empowering researchers information need accelerate discovery date product events training news new home page isi web knowledgesm unique fully integrated research environment delivers powerful combination content tools technology built foundation emphasizes quality selectivity objectivity isi web knowledge delivers essential data researchers seek isi 2005 year celebration magazine academic government customers isi web knowledge read little book big value pdf isi links million record links text documents hosted primary publishers growing list key databases essays depth details information initiatives company timeline key information solutions isi web knowledgesm web science current contents connect journal citation reports knowledgelinksm date mail newsletter featured essays impact factor using impact factor journal selection process master journal list search master journal list search title wordfull journal titleissn search term enter title word title issn search examples search examples title word enter cell cell journal title enter journal cell transplantation journal cell issn enter 1234 5678 master journal list includes journal covered isi web knowledge follow link product specific journal lists scie ssci ahci disclaimer terms use privacy policy copyright home contact press room products customer service support free resources site map careers",prof
"Java Technology", "java technology java solaris communities sun store join sdn profile join search tips apisdownloadstechnologiesproductssupportsun com developers home products technologies java technology products technologies j2se core desktop j2ee enterprise server j2me mobile wireless java card java web services java business integration xml java technologies downloads early access tools reference api specifications code samples apps documentation blueprints technical themes technical articles tips community forums bug database ask experts chats user groups newsletters books authors java technology blogs news updates learning new java center javaone technical sessions tutorials training certification quizzes regional sites java sun com source java developers preview java ee sdk download java ee sdk preview feel generation java ee platform new april 13 2006 power java hits san francisco thousands java technology advocates developers experts globe descend moscone center 16 19 2006 annual javaone conference preview expert led technical sessions real world examples hands labs previews technical advances exciting events industry leaders april 11 2006 bootstrap interfaces definition leveraging oss common jsr design shared entities oss java initiative oss focused operations business support systems office systems service providers article provides users guidelines extend oss common api april 2006 programming real time specification java rtsj conversation distinguished engineer greg bollella sun microsystems distinguished engineer greg bollella explains programming real time specification java rtsj gotten easier talks 2006 javaone conference slot car programming challenge events 2006 javaone conference register 15th save 100 2006 javaone conference packages sure register hotel obtain conference discount entered hotel sweepstakes netbeans software day 2006 javaone conference learn web application development java ee rich client development java se using netbeans ide join james gosling jonathan schwartz tim cramer sun netbeans community monday 15 2006 argent hotel san francisco free bonus class java university attendees 2006 javaone conference java univeristy just added free bonus evening course exploring ajax javaserver faces jsf course available attending java university courses held day 15 java learning java studio creator training build web applications snap java studio creator training coming city near learn develop visual web applications portlets just days ll use tool bundled javaserver faces components build applications access database ejb components web services new course developing secure java web services new day workshop business component client developers creating web services interested implementing standard security mechanisms line learning series open esb jbi learn leverage jbi project open esb implement right sized integration solutions based soa java tutorial update j2se java tutorial practical guide programmers hundreds complete working examples recently updated include j2se new java center make sense java technologies acronyms unraveling java terminology java concept map learn set lastest java platform software using getting started guide java community java platform standard edition java se beta available anticipated beta java se code named mustang launched check release result unprecedented levels collaboration sun engineers registered researchers java community migrate j2se latest spotlight page collects j2se articles tips features white papers make easier decide java software button available host new java software button web site ensure customers easy way latest version java runtime environment jre popular downloads j2se j2se netbeans ide j2ee sdk java wsdp sun java studio creator free sun java studio enterprise free sun java system application server sun java system web server staroffice sdk sun developer expert assistance question using sun developer tool technology help dedicated sun engineer sun developer expert assistance program java ee sdk download java ee sdk win sun ultra 20 workstation download related links technical topics desktop performance security mobility web services glassfish project sun resources developer events java net java com professional training java community process sun site newsletters contact employment buy licensing terms use privacy trademarks copyright 1994 2006 sun microsystems sun developer network site unless licensed code technical manuals including articles faqs samples provided license content feeds java se java ee java java card web services solaris sun studio compilers java se java ee java solaris java studio enterprise java studio creator netbeans mobility pack sun studio compilers early access java se java ee java solaris mobility java studio creator java studio enterprise netbeans mobility packs sun studio compilers java enterprise systems forums developer services big admin products downloads services solutions support training sun",prof
"JobWeb - Home", "jobweb home home jobweb contact site map search resumes interviewssearch employerscareer libraryfor employers search employer profiles keywords select location alabama alaska arizona arkansas california colorado connecticut delaware district columbia florida georgia hawaii idaho illinois indiana iowa kansas kentucky louisiana maine maryland massachusetts michigan minnesota mississippi missouri montana nebraska nevada new hampshire new jersey new mexico new york north carolina north dakota ohio oklahoma oregon pennsylvania rhode island south carolina south dakota tennessee texas utah vermont virginia washington west virginia wisconsin wyoming advanced search job search advice featured employer good job market sweetens salary offers new graduates career articles click logo read working company jobweb marketplace learn teach explore travel paid vistaprint free color business cards 30 products discover secrets smart student loan consolidation click improve share resumes resumewiki com copy job choices jobs location occupation need job try nacelink college university nacelink login box jobweb com career development job search advice new college graduates copyright national association colleges employers 62 highland avenue bethlehem pa 18017 9085 phone 610 868 1421 800 544 5272 fax 610 868 208 privacy policy webmaster",info
"KidsClick! Web Search", "kidsclick web search hurricane katrina search lessons search tools picture search tools sound search tools kidsclick privacy policy selection criteria submit site search word advanced search fields web address search 600 subjects letter facts reference encyclopedias dictionaries trivia news holidays calendars science math animals environment space natural disasters math experiments dinosaurs arts drawing coloring art museums music art children musical instruments weird mysterious ghosts esp monsters aliens disappearances health family medicine disabilities family life exercise parenting popular entertainments rock music movies cartoons toys celebrities religion mythology christianity judaism islam earth religions religion general mythology home household food pets hobbies crafts gardening babysitting sports recreation team sports games camping fishing olympics horsemanship martial arts society government law schools politics military business organizations machines transportation cars inventions spacecraft planes trains robots literature stories poetry humor individual authors books jokes book series reading writing speaking grammar world languages spelling composition vocabulary writing computers internet software programming internet computer games online games geography history biography countries american history biography states world history folklore does page look like librarian eyes copyright 1995 2005 rights reserved http www kidsclick org",info
"LEGO_com The Official Web Site of LEGO ® products!", "lego com official web site lego products sign register new ferrari products experience thrills f1 racing scuderia ferrari team lego store events alligator model build calif atlanta fll world festival nxt pre order lego mindstorms nxt today clikits new colours styles check new products exo force downloads battle machines ready invade desktops lego wear come spring summer 2006 collection lego belville invited icecream winter wonderland palace make create lego mindstorms bionicle exo force cool creations games brickmaster free lego magazine lego shop home new shop sales deals store locator customer service educators parents legoland site index legal notice 2006 lego group rights reserved use site signifies agreement terms use 2006 lucasfilm tm rights reserved used authorization ferrari associated logos distinctive designs trademarks ferrari body ferrari car protected ferrari property trade dress design regulations harry potter characters names related indicia trademarks warner bros entertainment harry potter publishing rights jkr s04 hit entertainment plc keith chapman 2006 2006 viacom international rights reserved",info
"Libweb - Library WWW Servers", "libweb library www serverslibweb library servers www updated daily libweb currently lists 7400 pages libraries 125 countries contents keyword search location library type information united states academic libraries public libraries national libraries library organizations state libraries regional consortia special school libraries europe africa middle east asia australia new zealand pacific canada mexico caribbean central america south america submission form new revised entries related sites thanks people maintain resources uk higher education research libraries maintained ian tilsed university exeter australian libraries gateway maintained national library australia lib web cats research listing library pages catalogs system profiles maintained marshall breeding vanderbilt university official mirror sites usa university missouri st louis trexel net massachusetts rtin bz philadelphia pennsylvania rvh9 namesdatabase com cambridge massachusetts canada paracoda com montr al qu bec europe kelkoo com netherlands institut strahlen und kernphysik university bonn tuxparty berlin germany miscellaneousmirror org germany clever com germany autinity systems chemnitz germany xedio mediastudios germany helvetic association open source development neuchatel switzerland create libweb mirror site 1995 2004 rights reserved document maintained server lists webjunction org thomas dowling faq contact information adding library lists use form",info
"Macromedia", "macromediaaccessibility skip global navigation solutions rich experiences desktops devices learn industries telecommunications government financial services education solutions rich internet applications digital media web publishing web conferencing elearning training mobile accessibility solutions flash platform deliver effective experiences rich content applications communications read partners macromedia alliance partner learn learn products indesign cs2 works way design learn featured products studio dreamweaver flash breeze flex coldfusion mx flash media server fireworks jrun freehand mx director mx 2004 captivate robohelp x5 authorware contribute flashpaper products buy products online download trial versions free online product seminars designer developer complete solution creating scalable rias flex beta featured topics flash dreamweaver studio fireworks mobile devices flash video flex coldfusion css motion design center sample applications visit developer center support knowledge base product support centers support programs forums product documentation download players download flash player download shockwave player purchase build websites mobile content upgrade 399 buy buy products online volume license purchase ways purchase news eventsadobe nab 2006 adobe appoints new senior vice president creative solutions business unit news events showcase site day finekix sony pictures screen gems flash pro view video case study company site map privacy security contact accessibility report piracy send feedback copyright 2006 adobe systems incorporated rights reserved use website signifies agreement terms use search powered",prof
"Massachusetts Institute of Technology", "massachusetts institute technology monday april 17 2006 massachusetts institute technology spotlight infinite corridor boston marathon best luck mit marathoners news race leukemia held mit april 22 artist explores human robot interaction education courses opencourseware video research labs centers programs libraries admissions undergraduate graduate professional offices services resources jobs business giving community groups students faculty parents alumni events calendar arts athletics commencement mit facts presidency visiting map search mit google people offices today page andrew smiles massachusetts institute technology77 massachusetts avenue cambridge ma 2139 4307tel 617 253 1000 tty 617 258 9344about sitecontact",prof
"Medicare_gov - The Official U_S_ Government Site for People with Medicare", "medicare gov official government site people medicaresearch frequently asked questions home screen reader version printable version espa 1089 ol official government site people medicare help frequently asked questions mailing list search tools medicare gov new prescription drug plan new medicare 2006 medicare billing medicare appeals long term care plan choices preventive services address change replacement card medicaid enrollment provider information ombudsman center hurricane information glossary privacy practices medicare reform search tools medicare spotlights site updates getting drugs transition period new pdf 45 kb want learn new medicare prescription drug coverage landscape local plans compare medicare prescription drug plans new demo prescription drug plan finder new enroll medicare prescription drug plan new formulary finder resources medicare beneficiaries urged look phone scams national conversation friends family new pdf mb benefitscheckuprx medicare rx national conversation new following paid program sponsored department health human services view online windows media read transcript enrolled drug plan questions help medicare spotlights detailed information medicare modernization act organizations providersfor beneficiaries caregivers search tools compare medicare prescription drug plans compare health plans medigap policies area medicare approved drug discount card compare hospitals area compare nursing homes area medicare publication eligible medicare enroll doctor medicare covers compare home health agencies area suppliers medical equipment area helpful phone numbers websites compare dialysis facilities area plan long term care needs page updated april 2006 frequently asked questions contact website privacy website policies freedom information act firstgov gov 220 centers medicare medicaid services department health human services",info
"MetaCrawler Web Search Home Page - MetaCrawler", "metacrawler web search home page metacrawler web images audio video news yellow pages white pages exact phrase advanced preferences popular searches post officesracketeering nasa dartdebt consolidation red paperclipgas savers world searching make metacrawler homepage metacrawler go2net mail submit site tell friend metacrawler tools tips privacy policy terms use contact add metacrawler search site mobile search directory careers press investor relations infospace search network dogpile webcrawler metacrawler infospace infospace search resources search engines yellow pages white pages town directories business categories maps 2006 infospace rights reserved",info
"Microsoft Corporation", "microsoft corporationclick jump main page content microsoft worldwide home microsoft com web search product families windowsofficewindows server systemdeveloper toolsbusiness solutionsgames xboxmsnwindows mobileall productsproduct resources downloadsmicrosoft updateoffice updatesecuritycommunitiessupportlearning toolsevents webcastsmicrosoft worldwide countries regions windows defender beta msn messenger popular downloads internet explorer media player xbox 360 knowledge base service packs product solution centers home windows xp clip art home software work office 2003 editions templates trial software business industry volume licensing small business center microsoft partners technet security center sql server 2005 script center msdn online visual studio 2005 subscription information patterns practices microsoft journalists investor relations corporate citizenship updated monday april 17 2006 12 pacific time manage profile contact careers legal 2006 microsoft corporation rights reserved terms use trademarks privacy statement",prof
